Time,VideoURL,Title
07:01,https://youtube.com/embed/4qro1PkJMWI,1
07:27,https://youtube.com/embed/pAmFDuK02BY,1
08:03,https://youtube.com/embed/TA9Sn32s20s,1
08:40,https://youtube.com/embed/6uE0fWMjOGY,1
09:08,https://youtube.com/embed/uwOj021DRyo,1
10:12,https://youtube.com/embed/bcywO6Vv3K0,1
10:39,https://youtube.com/embed/YFoNHWFTeTs,1
11:00,https://youtube.com/embed/nrZGnExcGng,1
13:58,https://youtube.com/embed/kZdH2z6gWMs,1
14:20,https://youtube.com/embed/ncB1EIONHQM,1
16:31,https://youtube.com/embed/TA9Sn32s20s,1
17:00,https://youtube.com/embed/7sxW9yXnYzk,1
17:30,https://youtube.com/embed/NqvtmQtH0OI,1
18:30,https://youtube.com/embed/cuewRj4Lepk,1
20:57,https://youtube.com/embed/7sxW9yXnYzk,1
21:30,https://youtube.com/embed/fB7LDQwoF58,1
00:14,https://youtube.com/embed/vcdYVI26ghA,1
01:00,https://youtube.com/embed/FCDAnPFJUPA,1
01:40,https://youtube.com/embed/3akDXvuYVzM,1
02:10,https://youtube.com/embed/eZYbIOaK_HE,1
02:35,https://youtube.com/embed/6AYN3W-RO_8,1
03:20,https://youtube.com/embed/6uE0fWMjOGY,1
03:48,https://youtube.com/embed/PovDde-5cmg,1
04:22,https://youtube.com/embed/FiuMb5M8GR4,1
04:49,https://youtube.com/embed/TA9Sn32s20s,1
05:26,https://youtube.com/embed/MXiOfDCLz9s,1
05:44,https://youtube.com/embed/pAmFDuK02BY,1
06:36,https://youtube.com/embed/S11GoAs8SGI,1




